Date : 2022-07-12 11:22:12
Directory : /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio
Total : 676 files,  129162 codes, 45034 comments, 26850 blanks, all 201046 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/demo/CMakeFiles/3.23.2/CMakeSystem.cmake                                          | CMake        |         10 |          0 |          6 |         16 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/demo/CMakeFiles/3.23.2/CompilerIdC/CMakeCCompilerId.c                             | C            |        633 |         61 |        135 |        829 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/demo/CMakeFiles/3.23.2/CompilerIdCXX/CMakeCXXCompilerId.cpp                       | C++          |        621 |         63 |        133 |        817 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/demo/CMakeFiles/CMakeDirectoryInformation.cmake                                   | CMake        |         12 |          0 |          5 |         17 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/demo/CMakeFiles/CMakeOutput.log                                                   | Log          |        417 |          0 |         31 |        448 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/demo/CMakeFiles/Makefile.cmake                                                    | CMake        |        124 |          0 |          6 |        130 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/demo/CMakeFiles/demo.dir/DependInfo.cmake                                         | CMake        |         15 |          0 |          6 |         21 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/demo/CMakeFiles/demo.dir/cmake_clean.cmake                                        | CMake        |         10 |          0 |          2 |         12 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/demo/CMakeFiles/demo.dir/compiler_depend.ts                                       | TypeScript   |          2 |          0 |          1 |          3 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/demo/Makefile                                                                     | Makefile     |         94 |         52 |         50 |        196 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/demo/app/CMakeFiles/CMakeDirectoryInformation.cmake                               | CMake        |         12 |          0 |          5 |         17 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/demo/app/CMakeFiles/adasbusiness.dir/DependInfo.cmake                             | CMake        |         20 |          0 |          6 |         26 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/demo/app/CMakeFiles/adasbusiness.dir/cmake_clean.cmake                            | CMake        |         22 |          0 |          2 |         24 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/demo/app/CMakeFiles/adasbusiness.dir/cmake_clean_target.cmake                     | CMake        |          3 |          0 |          1 |          4 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/demo/app/CMakeFiles/adasbusiness.dir/compiler_depend.ts                           | TypeScript   |          2 |          0 |          1 |          3 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/demo/app/Makefile                                                                 | Makefile     |        197 |         65 |         83 |        345 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/demo/app/cmake_install.cmake                                                      | CMake        |         37 |          0 |          8 |         45 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/demo/cmake_install.cmake                                                          | CMake        |         50 |          0 |         11 |         61 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/ft/main.cpp                                                                       | C++          |         42 |          0 |          6 |         48 |
| Total                                                                                                                                  |              |    129,162 |     45,034 |     26,850 |    201,046 |
+----------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
